uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q11927898,Joan Pons Marquès,1894,employment,http://www.wikidata.org/entity/Q43179566,Archivo Histórico Provincial de Las Palmas,1,archive,1881-1910,['archive']
http://www.wikidata.org/entity/Q11927898,Joan Pons Marquès,1894,membership,http://www.wikidata.org/entity/Q35854422,"Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos",2,corporation | organization,1881-1910,"['corporation', 'organization']"
http://www.wikidata.org/entity/Q11927898,Joan Pons Marquès,1894,membership,http://www.wikidata.org/entity/Q29790141,Secció Històrico-Arqueològica de l’Institut d’Estudis Catalans,1,medical check-up,1881-1910,['medical check-up']
http://www.wikidata.org/entity/Q11928735,Josep Maria Pons i Guri,1909,membership,http://www.wikidata.org/entity/Q167273,Reial Acadèmia Catalana de Belles Arts de Sant Jordi,3,art academy | college of music | national academy,1881-1910,"['art academy', 'college of music', 'national academy']"
http://www.wikidata.org/entity/Q11928755,Josep Maria Sans i Travé,1947,membership,http://www.wikidata.org/entity/Q337421,Acadèmia de Bones Lletres de Barcelona,2,academy | national academy,1941-1970,"['academy', 'national academy']"
http://www.wikidata.org/entity/Q11935264,Marcelino Gutiérrez del Caño,1861,membership,http://www.wikidata.org/entity/Q35854422,"Cuerpo Facultativo de Archiveros, Bibliotecarios y Arqueólogos",2,corporation | organization,1851-1880,"['corporation', 'organization']"
http://www.wikidata.org/entity/Q11954486,Verònica Cantó Domènech,1964,employment,http://www.wikidata.org/entity/Q2037040,University of Alicante,2,open-access publisher | public university,1941-1970,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11959864,Axel Linvald,1886,employment,http://www.wikidata.org/entity/Q2860552,Danish National Archives,1,national archives,1881-1910,['national archives']
http://www.wikidata.org/entity/Q11959864,Axel Linvald,1886,employment,http://www.wikidata.org/entity/Q373133,Politiken,2,daily newspaper | newspaper,1881-1910,"['daily newspaper', 'newspaper']"
http://www.wikidata.org/entity/Q11959864,Axel Linvald,1886,education,http://www.wikidata.org/entity/Q12336936,Schneekloths Skole,1,gymnasium,1881-1910,['gymnasium']
http://www.wikidata.org/entity/Q11959864,Axel Linvald,1886,membership,http://www.wikidata.org/entity/Q3432939,Royal Danish Society for Fatherland History,1,voluntary association,1881-1910,['voluntary association']
http://www.wikidata.org/entity/Q119620036,Q119620036,1947,employment,http://www.wikidata.org/entity/Q4201526,Institute of History of the National Academy of Sciences of Belarus,1,institute,1941-1970,['institute']
http://www.wikidata.org/entity/Q119620036,Q119620036,1947,employment,http://www.wikidata.org/entity/Q14271902,Belarusian Petrus Brouka Encyclopedia,1,publishing company,1941-1970,['publishing company']
http://www.wikidata.org/entity/Q119620036,Q119620036,1947,employment,http://www.wikidata.org/entity/Q4315007,National Historical Archives of Belarus,1,historical archive,1941-1970,['historical archive']
http://www.wikidata.org/entity/Q119620036,Q119620036,1947,education,http://www.wikidata.org/entity/Q4204524,Faculty of History of the Belarusian State University,1,faculty of history,1941-1970,['faculty of history']
http://www.wikidata.org/entity/Q11977208,Inger Margrethe Boberg,1900,education,http://www.wikidata.org/entity/Q186285,University of Copenhagen,2,organization | public research university,1881-1910,"['organization', 'public research university']"
http://www.wikidata.org/entity/Q119821825,Eckhart Leisering,1962,employment,http://www.wikidata.org/entity/Q1589617,State Archives Dresden,2,archive | building complex,1941-1970,"['archive', 'building complex']"
http://www.wikidata.org/entity/Q11983276,Lars Hamre,1912,employment,http://www.wikidata.org/entity/Q4793570,National Archives of Norway,2,archive | national archives,1911-1940,"['archive', 'national archives']"
http://www.wikidata.org/entity/Q11983276,Lars Hamre,1912,employment,http://www.wikidata.org/entity/Q486156,University of Oslo,2,open-access publisher | public university,1911-1940,"['open-access publisher', 'public university']"
http://www.wikidata.org/entity/Q11985423,Václav Chaloupecký,1882,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1881-1910,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11985423,Václav Chaloupecký,1882,employment,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11985423,Václav Chaloupecký,1882,education,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
http://www.wikidata.org/entity/Q11985438,Václav Davídek,1913,education,http://www.wikidata.org/entity/Q102400615,Examination Board for Teachers at Secondary Schools of Charles University,2,educational institution | examination board,1911-1940,"['educational institution', 'examination board']"
http://www.wikidata.org/entity/Q11985438,Václav Davídek,1913,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1911-1940,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11985684,Václav Ledvinka,1947,education,http://www.wikidata.org/entity/Q3563550,"Faculty of Arts, Charles University in Prague",3,faculty | open-access publisher | publishing company,1941-1970,"['faculty', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q11985684,Václav Ledvinka,1947,employment,http://www.wikidata.org/entity/Q19672898,Prague City Archives,2,municipal archive | publishing company,1941-1970,"['municipal archive', 'publishing company']"
http://www.wikidata.org/entity/Q11985906,Václav Vaněček,1905,education,http://www.wikidata.org/entity/Q12047389,"Faculty of Law, Charles University in Prague",3,faculty | faculty of law | research institute,1881-1910,"['faculty', 'faculty of law', 'research institute']"
http://www.wikidata.org/entity/Q11985906,Václav Vaněček,1905,employment,http://www.wikidata.org/entity/Q31519,Charles University,5,czech research institution | organization | public university | publishing company | university,1881-1910,"['czech research institution', 'organization', 'public university', 'publishing company', 'university']"
